BusH,Code,hydro_name,Type,TurbinedGoesTo,EcoflowGoesTo,PumpedGoesTo,VMinH,VMaxH,EtaH,Head,kH,PorigExistingH,PexistingH,PMaxH,CostCapUpgradeH,PMinH,QDivertedMinH,CostOperationFixH,LossesH,GHGupstreamH,GHGOperationH,CostReserveH,CostRampsH
b1,dummy,Dummy for runs without H,Reservoir,0,0,0,0,1.0,0.85,181,1.00,1,1.00,1.00,0.00,0,0,49.5,0,0,6.6,0,0
b1,RALCO_1,Ralco (Lago Ralco),Reservoir,RALCO_3,RALCO_2,0,0,1173.0,0.85,181,1.51,689,689.02,1033.50,37.83,0,31,49.5,0,0,6.6,0,0
b1,RALCO_2,Palmucho,Reservoir,RALCO_3,0,RALCO_1,0,41.0,0.93,126,1.15,32,32.00,32.00,0.00,0,0,49.5,0,0,6.6,0,0
b1,RALCO_3,Pangue,Reservoir,RALCO_4,0,RALCO_1,0,5000.0,0.90,99,0.87,466,466.03,699.00,48.88,50,0,49.5,0,0,6.6,0,0
b1,RALCO_4,Angostura,Reservoir,0,0,RALCO_3,1058,1125.0,0.90,50,0.44,328,328.01,492.00,62.39,26,0,49.5,0,0,6.6,0,0
b1,LAJA_1,El Toro (Lago Laja con Polcura),Reservoir,LAJA_3,LAJA_2,0,432,5520.0,0.90,545,4.80,449,448.76,673.11,31.64,45,0,49.5,0,0,6.6,0,0
b1,LAJA_2,Abanico,RoRCascade,LAJA_3,LAJA_4,0,0,0.0,0.83,147,1.20,129,129.00,129.00,0.00,0,0,49.5,0,0,6.6,0,0
b1,LAJA_3,Antuco (Bocatoma Polcura),RoRCascade,LAJA_4,LAJA_4,0,0,0.7,0.85,190,1.58,319,319.18,478.76,47.05,0,0,49.5,0,0,6.6,0,0
b1,LAJA_4,Rucue,RoRCascade,LAJA_5,0,0,0,0.5,0.93,140,1.28,178,178.14,267.20,64.49,0,0,49.5,0,0,6.6,0,0
b1,LAJA_5,Quilleco,RoRCascade,0,0,0,0,0.5,0.93,59,0.54,71,70.65,70.65,0.00,7,0,49.5,0,0,6.6,0,0
b1,CANUT_1,Rio Lenca,Aux (inflow 2),0,CANUT_2,0,0,0.0,0.01,0,0.00,0,0.01,0.01,0.00,0,0,49.5,0,0,6.6,0,0
b1,CANUT_2,Canutillar (Lago Chapo),Reservoir,0,0,0,0,1065.0,0.93,212,1.93,172,171.58,257.36,56.53,17,0,49.5,0,0,6.6,0,0
b2,RAPEL_1,Rapel,Reservoir,0,0,0,130,565.0,0.85,76,0.63,377,376.65,564.96,56.60,40,0,49.5,0,0,6.6,0,0
b2,MAULE_1,Cipreses (Laguna Invernada),Reservoir,MAULE_4,MAULE_4,0,1,180.0,0.80,370,2.90,106,105.82,105.82,0.00,15,0,49.5,0,0,6.6,0,0
b2,MAULE_2,Los Condores (Laguna Maule),Reservoir,MAULE_4,MAULE_4,0,0,1453.4,0.84,721,5.94,150,150.00,150.00,53.12,0,0,49.5,0,0,6.6,0,0
b2,MAULE_4,Isla,RoRCascade,MAULE_5,MAULE_5,0,0,0.3,0.90,93,0.82,70,69.88,69.88,0.00,0,0,49.5,0,0,6.6,0,0
b2,MAULE_5,Currillinque,RoRCascade,MAULE_6,MAULE_6,0,0,0.3,0.90,114,1.01,92,91.77,91.77,0.00,0,0,49.5,0,0,6.6,0,0
b2,MAULE_6,Loma Alta,RoRCascade,MAULE_7,MAULE_7,0,0,0.3,0.90,50,0.44,40,39.93,39.93,0.00,0,0,49.5,0,0,6.6,0,0
